Date,Open,High,Low,Close,Adj Close,Volume
2007-08-01,81.499779,91.936996,80.217491,91.300827,46.749226,16567927
2007-09-01,91.072197,96.221230,90.654709,95.923019,49.115952,5844845
2007-10-01,95.426010,131.707779,94.948883,130.216751,66.675552,19344026
2007-11-01,131.399628,131.896637,96.479675,103.070030,52.775475,11755394
2007-12-01,101.907028,103.964653,95.227211,99.402100,50.897366,4514297
2008-01-01,99.402100,100.545219,85.485802,92.344543,47.283646,9385739
2008-02-01,92.344543,94.074142,88.100075,91.380348,46.789948,6638399
2008-03-01,90.108002,109.054039,90.108002,104.620705,53.569462,12327197
2008-04-01,104.372200,108.845299,99.750000,105.356277,53.946102,8096460
2008-05-01,105.356277,107.533188,95.724220,96.877281,50.514030,4490909
2008-06-01,95.426010,97.911064,88.278999,91.479752,47.699631,6327906
2008-07-01,90.495667,103.089912,82.106133,99.779823,52.027477,12104159
2008-08-01,98.785805,106.211136,95.495590,104.670410,54.577541,4500419
2008-09-01,102.682365,112.393951,82.951050,87.503662,45.626408,18656078
2008-10-01,88.438042,88.438042,35.794693,48.210014,25.137804,20684431
2008-11-01,47.911812,48.508224,28.081093,31.808670,16.585766,9306769
2008-12-01,32.305679,41.212109,28.935949,37.792679,19.705961,6394995
2009-01-01,37.792679,45.724964,31.560165,38.518311,20.084328,5112979
2009-02-01,38.766815,39.412930,33.448807,35.407024,18.462030,4036400
2009-03-01,34.194321,45.118610,29.373320,43.080868,22.463345,9851877
2009-04-01,42.464577,58.746639,42.464577,47.713005,24.878654,10802307
2009-05-01,47.713005,50.536026,40.884083,50.178177,27.191410,7956411
2009-06-01,50.695068,54.333183,45.277653,49.462482,26.803570,5447194
2009-07-01,50.575787,58.130344,47.394920,54.661213,29.620750,9911251
2009-08-01,54.561810,68.597389,54.392826,65.078552,35.265869,11375786
2009-09-01,65.993050,81.400375,62.722721,79.114128,42.871708,9678632
2009-10-01,79.332809,82.404335,63.120331,67.265396,36.450920,10747104
2009-11-01,65.764427,71.450226,51.231838,56.162186,30.434118,34957415
2009-12-01,57.901722,68.637146,57.852020,65.346939,35.411308,25152663
2010-01-01,65.346939,67.384682,55.038940,58.249626,31.565298,22563854
2010-02-01,58.150227,62.573620,54.671154,59.442451,32.211693,23186746
2010-03-01,59.889763,73.756355,59.263531,67.900002,36.794811,46046520
2010-04-01,68.099998,76.459999,67.019997,72.540001,39.309212,47116178
2010-05-01,72.739998,74.000000,64.019997,71.730003,39.736141,34412766
2010-06-01,71.500000,78.230003,68.500000,72.379997,40.096222,24463979
2010-07-01,71.500000,81.750000,69.809998,81.309998,45.043156,21219869
2010-08-01,81.750000,85.160004,76.160004,78.529999,43.503132,18834739
2010-09-01,79.029999,92.709999,77.680000,88.529999,49.042805,18127377
2010-10-01,88.430000,109.400002,81.800003,108.000000,59.828579,25765734
2010-11-01,109.400002,129.000000,103.800003,123.800003,68.581268,21799766
2010-12-01,124.550003,139.449997,117.400002,121.400002,67.251747,21933473
